3,2212.4,9,4615.010026,4629.3053,506.9,165
4,1580.7,10,4670.561413,4591.592979,-631.7,166
4,1485.5,11,4583.122177,4615.010026,-95.2,167
4,1582.6,12,4615.881494,4670.561413,97.1,168
1,1498.9,1,4606.939196,4583.122177,-83.7,169
1,1644.5,2,4607.308592,4615.881494,145.6,170
1,1610.9,3,4625.819364,4606.939196,-33.6,171
2,1695,4,4632.773912,4607.308592,84.1,172
2,1664.9,5,4648.541087,4625.819364,-30.1,173
2,1583.8,6,4606.279562,4632.773912,-81.1,174
3,1740.4,7,4655.101064,4648.541087,156.6,175
3,1798.7,8,4638.435535,4606.279562,58.3,176
3,2296.1,9,4629.651282,4655.101064,497.4,177
4,1686,10,4694.460336,4638.435535,-610.1,178
4,1576.9,11,4627.012036,4629.651282,-109.1,179
4,1608.8,12,4619.172996,4694.460336,31.9,180
1,1610.8,1,4636.663689,4627.012036,2,181
1,1712.9,2,4638.757474,4619.172996,102.1,182
1,1664.3,3,4625.790469,4636.663689,-48.6,183
2,1698,4,4639.604479,4638.757474,33.7,184
2,1662.9,5,4648.563932,4625.790469,-35.1,185
2,1678.9,6,4587.977976,4639.604479,16,186
3,1811.1,7,4670.615102,4648.563932,132.2,187
3,1835.5,8,4669.258061,4587.977976,24.4,188
3,2418.4,9,4679.582216,4670.615102,582.9,189
4,1724.9,10,4737.616019,4669.258061,-693.5,190
4,1531.3,11,4676.925652,4679.582216,-193.6,191
4,1660,12,4683.166423,4737.616019,128.7,192
1,1602,1,4691.587021,4676.925652,-58,193
1,1677,2,4712.014774,4683.166423,75,194
1,1668.8,3,4701.318897,4691.587021,-8.2,195
2,1699.6,4,4702.712626,4712.014774,30.8,196
2,1649.9,5,4711.955148,4701.318897,-49.7,197
2,1685,6,4667.812342,4702.712626,35.1,198
3,1783.6,7,4771.633998,4711.955148,98.6,199
3,1776,8,4756.994123,4667.812342,-7.6,200
3,2323.2,9,4730.067915,4771.633998,547.2,201
4,1775.4,10,4798.722977,4756.994123,-547.8,202
4,1597.2,11,4728.285907,4730.067915,-178.2,203
4,1733.6,12,4755.647501,4798.722977,136.4,204
1,1681,1,4784.946253,4728.285907,-52.6,205
1,1764.5,2,4783.726236,4755.647501,83.5,206
1,1779,3,4763.634081,4784.946253,14.5,207
2,1817.4,4,4800.734297,4783.726236,38.4,208
2,1830.7,5,4820.597121,4763.634081,13.3,209
2,1894.3,6,4771.610365,4800.734297,63.6,210
