4,121.3898842,513597.4,12
1,95.292059,514750,1
1,84.89292559,514766.1,2
1,95.892009,514782.2,3
2,95.49204233,514798.3,4
2,96.89192567,515647.8,5
2,97.19190067,516497.4,6
3,88.89259228,517346.9,7
3,112.8905925,517582.6,8
3,95.19206733,517818.4,9
4,101.6915257,518054.1,10
4,97.99183401,518182.6,11
4,121.3898842,518311.1,12
1,95.292059,518439.6,1
1,84.69294225,519174.5,2
1,94.79210066,519909.4,3
2,96.79193401,520644.3,4
2,97.79185068,520868.4,5
2,96.89192567,521092.6,6
3,86.79276727,521316.7,7
3,111.6906924,522226.5,8
3,96.191984,523136.2,9
4,101.6915257,524046,10
4,95.592034,523987.1,11
4,123.1897342,523928.1,12
1,95.592034,523869.2,1
1,85.19290059,524472,2
1,93.89217565,525074.9,3
2,98.19181735,525677.7,4
2,98.39180068,525876.7,5
2,101.1915674,526075.8,6
3,88.49262561,526274.8,7
3,113.2905591,527506.9,8
3,98.49179235,528739.1,9
4,103.3913841,529971.2,10
4,96.59195067,529538,11
4,127.2893926,529104.9,12
1,96.79193401,528671.7,1
1,89.49254229,529072.3,2
1,98.09182568,529473,3
2,99.49170902,529873.6,4
2,101.4915424,530905.1,5
2,103.091409,531936.5,6
3,88.79260062,532968,7
3,115.6903591,534415.9,8
3,99.19173402,535863.8,9
4,104.5912841,537311.7,10
4,101.9915007,538590.5,11
4,131.3890509,539869.3,12
1,100.5916174,541148.1,1
1,91.19240063,542399.6,2
1,102.9914174,543651,3
2,102.2914757,544902.5,4
2,106.0911591,546457.9,5
2,106.0911591,548013.4,6
3,91.69235897,549568.8,7
3,120.0899925,549831.3,8
3,106.0911591,550093.7,9
4,106.3911341,550356.2,10
4,109.0909091,550715.3,11
4,135.3887176,551074.3,12
1,104.2913091,551433.4,1
1,94.69210899,552086.8,2
1,108.5909508,552740.3,3
2,104.6912757,553393.7,4
2,110.0908258,554599.1,5
2,112.9905841,555804.4,6
3,94.89209233,557009.8,7
3,127.4893759,558023.3,8
3,106.8910924,559036.7,9
4,114.5904508,560050.2,10
4,113.4905425,560512,11
4,135.7886843,560973.8,12
1,107.1910674,561435.6,1
1,98.09182568,561730.9,2
1,109.3908841,562026.2,3
2,110.8907591,562321.5,4
2,113.4905425,561973.7,5
2,113.9905008,561625.9,6
3,98.49179235,561278.1,7
3,132.8889259,550165.5,8
3,108.4909591,539053,9
4,116.5902841,527940.4,10
4,116.5902841,503628.4,11
4,139.788351,479316.5,12
1,110.6907758,455004.5,1
1,101.891509,303336.3,2
1,92.89225898,151668.2,3
